영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,좌표정보x(epsg5174),y(epsg5174)
강남,CGV,영업,서울시,서울시,강남,서울특별시 강남구 논현동 4-15,서울특별시 강남구 도산대로 128 (논현동),201924.4852,446086.6929
강변,CGV,영업,서울시,서울시,광진구,서울특별시 광진구 구의동 546-4 테크노마트10층,"서울특별시 광진구 광나루로56길 85, 10층 (구의동, 테크노마트)",208394.4164,448165.28
건대입구,CGV,영업,서울시,서울시,광진구,서울특별시 광진구 자양동 9-4 몰오브케이,"서울특별시 광진구 아차산로30길 26, 몰오브케이 4층 (자양동)",205845.9467,448616.8477
고덕강일,CGV,영업,서울시,서울시,강동구,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",213847.9237,451564.47
구로,CGV,영업,서울시,서울시,구로구,서울특별시 구로구 구로동 573 애경백화점 6층,"서울특별시 구로구 구로중앙로 152 (구로동, 애경백화점 6층)",189570.3609,444336.0513
대학로,CGV,영업,서울시,서울시,종로구,서울특별시 종로구 명륜2가 41-9 3층,"서울특별시 종로구 대명길 28 (명륜2가,3층)",199916.8335,453462.4209
동대문,CGV,영업,서울시,서울시,중구,서울특별시 중구 을지로6가 17-2 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",200613.5103,451817.5154
등촌,CGV,영업,서울시,서울시,강서구,서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",187210.9178,450631.4355
명동,CGV,영업,서울시,서울시,중구,서울특별시 중구 명동2가 83-5 Noon Square,"서울특별시 중구 명동길 14, Noon Square 8층 (명동2가)",198418.7417,451237.1686
명동역 씨네라이브러리,CGV,영업,서울시,서울시,중구,서울특별시 중구 충무로2가 65-9,서울특별시 중구 퇴계로 123 (충무로2가),198636.2504,451005.7216
미아,CGV,영업,서울시,서울시,강북구,서울특별시 강북구 미아동 35-4 트레지오 쇼핑몰 10층,"서울특별시 강북구 도봉로 34, 10층 (미아동, 트레지오빌딩)",202642.446,456636.3082
